,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
7699,-77737,116853,-111757,7669,67078,25366,106016,-435090,294134
7700,-77737,115487,-109603,7721,67078,25366,104792,-429100,295836
7701,-77737,114149,-107558,7870,67078,25366,103636,-422766,295934
7702,-77737,112525,-105509,7934,66948,25366,102177,-415670,298092
7703,-77737,111127,-104172,7980,66956,25366,100904,-409524,300327
7704,-77737,109198,-101618,7980,66893,25366,99018,-400849,303271
7705,-77737,107762,-99964,8060,66842,25366,97724,-394366,305395
7706,-77737,105401,-97371,8017,66885,25366,95315,-383561,309066
7707,-77737,103577,-95271,8017,66826,25366,93468,-375085,311171
7708,-77737,102074,-93848,8017,66870,25366,91888,-367796,312407
7709,-77737,96981,-87256,8218,66870,25366,86694,-342535,314386
7710,-77737,94707,-84433,8658,66870,25366,84808,-330863,314460
7711,-77737,92532,-81951,8662,66870,25366,82461,-320043,315101
7712,-77737,90998,-79470,9016,66870,25366,81046,-311125,311841
7713,-77737,89223,-77044,9313,66870,25366,79381,-301448,309973
7714,-77737,87596,-75075,9671,66870,25366,78055,-292923,309280
7715,-77737,86062,-72851,9787,67150,25366,76288,-283864,306492
7716,-77737,84857,-71049,9988,67427,25366,75013,-276499,303925
7717,-77737,83974,-69282,10135,67822,25366,73853,-269966,299795
7718,-77737,82906,-67655,10135,68331,25366,72354,-262761,297078
7719,-77737,82083,-66419,10135,69130,25366,71155,-256922,294973
7720,-77737,81103,-65016,10135,70331,25366,69655,-249474,292661
7721,-77737,80210,-63861,10135,71951,25366,68201,-242095,291006
7722,-77737,79016,-62822,10135,74980,25366,66029,-230793,291016
7723,-77737,78115,-62062,10160,76267,25366,65059,-225938,291265
7724,-77737,77019,-61166,9998,76018,25366,63731,-221026,291684
7725,-77737,75996,-60442,9938,76018,25366,62749,-216941,292494
7726,-77737,75159,-59886,9938,76018,25366,61876,-212925,293274
7727,-77737,73949,-59485,9938,76018,25472,61070,-209218,296295
7728,-77737,73044,-59191,9938,76018,25818,60352,-205914,298185
7729,-77737,72039,-58905,9938,76018,25818,59583,-202378,300609
7730,-77737,71295,-58847,9882,76040,25818,58980,-199992,303040
7731,-77737,70331,-58847,9882,76090,25818,58318,-196937,306506
7732,-77737,69570,-58847,9882,76082,25818,57664,-193928,309886
7733,-77737,68241,-58847,9882,76082,25931,56867,-190260,313853
7734,-77737,67330,-58847,9942,76108,26505,56300,-187212,316992
7735,-77737,66348,-58847,9942,76161,26404,55575,-183858,320281
7736,-77737,65399,-58847,10225,76150,26404,55298,-180567,323505
7737,-77737,64488,-58847,10620,76150,26404,55409,-177250,326629
7738,-77737,63602,-58847,11412,76150,26404,55973,-173883,329715
7739,-77737,62713,-58847,12503,76150,26404,56621,-170437,332797
7740,-77737,61830,-58847,14125,75673,26404,58905,-167538,336305
7741,-77737,60690,-58847,16212,74300,26404,61267,-164314,341262
7742,-77737,59914,-58847,17922,72617,26404,62914,-163628,345259
7743,-77737,59218,-58847,19440,70739,26404,64732,-163207,349186
7744,-77737,58729,-58847,20986,68232,26404,66709,-164409,353089
7745,-77737,58390,-58847,22723,65124,26404,68909,-166885,357293
7746,-77737,58280,-58847,23480,62979,26404,69822,-169165,359719
7747,-77679,58215,-58847,23883,60894,26404,70417,-171540,361855
7748,-77541,58266,-58847,23935,58788,26404,70863,-174368,363531
7749,-77325,58319,-58847,23849,56337,26404,71317,-177546,365529
7750,-77054,58319,-58847,23534,53481,26107,71550,-180917,368099
7751,-76907,58319,-58847,23349,50958,25956,71616,-184605,371222
7752,-76510,58319,-58847,22595,47399,25956,71229,-188644,374000
7753,-76381,58319,-58847,21953,43589,25956,70641,-191962,378047
7754,-76213,58319,-58847,21250,39420,25956,69706,-196187,382786
7755,-75943,58319,-58847,19585,34007,25956,67967,-201208,389158
7756,-75943,58319,-58847,17807,28612,25956,65269,-205810,396018
7757,-75943,58335,-58847,16303,24252,25956,63152,-209021,401846
7758,-75943,58335,-58847,13406,19080,25874,60235,-212175,409043
7759,-75943,58335,-58847,11090,14021,25474,58041,-214350,416531
7760,-75943,58335,-58847,8668,9091,25410,56235,-215676,424069
7761,-75943,58335,-58847,6472,5222,25410,55084,-216157,430099
7762,-75943,58335,-58847,3535,790,25410,54180,-216071,437079
7763,-75943,58335,-58847,941,-3312,25410,53834,-215366,443546
7764,-75943,58335,-58847,-347,-6210,25410,53775,-214355,448075
7765,-75943,58335,-58847,-1502,-8555,25410,53861,-213656,451701
7766,-75943,58335,-58847,-2379,-10517,25410,54026,-212618,455244
7767,-75996,58335,-58847,-2975,-12240,25410,53901,-211996,457307
7768,-75996,58335,-58847,-3367,-13547,25410,54093,-211420,459589
7769,-75996,58387,-58847,-4181,-15269,25410,54317,-210581,461610
7770,-75996,58387,-58847,-4441,-17198,25410,54370,-209403,464440
7771,-75996,58387,-58847,-4441,-19240,25410,54286,-208082,467401
7772,-75996,58387,-58847,-4441,-23960,25410,53985,-204645,474054
