,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
2181,37845,63218,-64518,2590,3506,166478,192842,150975,446300
2182,62703,63290,-64518,-356,3282,166478,111968,218257,446340
2183,87184,63290,-64518,-6634,3282,166478,12649,244973,446374
2184,100745,63290,-64518,-9695,3545,166478,-44808,241189,446003
2185,119957,63290,-64518,-7649,2877,166478,-121945,212799,447023
2186,119957,63290,-64518,-7703,2927,166478,-121934,212810,446945
2187,108401,74302,-64460,-9206,1972,166478,-95113,287483,395292
2188,98460,74250,-64519,-9214,-1333,166478,-44916,299680,401080
2189,85858,74250,-64519,-11376,-2536,166478,21097,302382,402938
2190,61567,74250,-64519,-18867,-2536,166478,143170,267164,402801
2191,36334,74250,-64519,-24273,-2585,166478,243165,180944,402733
2192,17084,74250,-64519,-24221,-2562,166478,289229,90640,402701
2193,-3154,74250,-64519,-24221,-2421,166478,302715,-15105,402497
2194,-19378,74250,-64519,-24221,-2543,166478,286473,-99004,402673
2195,-23073,74105,-64578,-24221,-2558,166478,278851,-116973,403815
2196,-60855,74105,-64578,-23793,-2558,166478,148698,-263306,403828
2197,-88213,61191,-64637,-22938,-4941,166478,10259,-230935,468073
2198,-118860,55312,-64637,-18194,-5117,166478,-91629,-171512,490404
2199,-135629,41516,-64526,-18106,-5573,166478,-70415,-72727,526191
2200,-151154,37374,-41818,-7678,-5135,166503,-114064,-64068,410752
2201,-144378,13125,-28975,-3189,-4692,166503,-34183,-25001,373723
2202,-100997,3438,-11630,8867,-5527,166503,-10052,-44645,286182
2203,-65795,3438,-8929,9266,-5098,166503,19575,-46725,270076
2204,-59022,3438,-8929,9266,-7277,166503,23967,-43531,273347
